Lake,BIOCON,AREA,DEPMAX,DEPMN,MAT,GDD,COND,DOC,SEC,TP,AP,AP_Flag,RICH,CBio1,CBio2,CBio3,CBio4,CBio5,CBio6,CBio7,CBio8,CBio9,CBio10,CBio11,CBio12,CBio13,CBio14,CBio15,CBio16,CBio17,CBio18,CBio19,CBio20,CBio21,CBio22,CBio23,CBio24,CBio25,CBio26,CBio27,CBio28,CBio29,CBio30,CPA1,CPA2,CPA3,CPA4,CPA5,CPA6,CPA7,CPA8,CPA9,CPA10,CPA11,CPA12,CPA13,CPA14,CPA15,CPA16,CPA17,CPA18,CPA19,CPA20,CPA21,CPA22,CPA23,CPA24,CPA25,CPA26,CPA27,CPA28,CPA29,CPA30,CPA31,CPA32,CPA33,CPA34,CPA35,CPA36,CPA37,CPA38,CPA39,CPA40,CPA41,CPA42,CPA43,CPA44,CPA45,CPA46,CPA47,CPA48,CPA49,CPA50,CPA51,CPA52,CPA53,CPA54,CPA55,x_Waterbody_Name,x_Waterbody_LID,x_LakeID_Ignasi707,x_LakeID_Ignasi721
358,-0.69,1370,24.00,6.9,2.1,1462,115,8.9,2.4,9.8,9.14,0,8,-0.4533,0.3088,0.1093,-0.0566,-0.0817,-0.2227,0.0391,-0.0819,0.0189,-0.0512,-0.0114,-0.0048,0.0106,-0.1382,-0.0151,0.0050,0.0010,-0.0098,0.0287,-0.0248,0.1778,-0.0266,0.0158,0.0441,0.0001,-0.0092,-0.0261,-0.0111,-0.0221,0.0112,-0.3543,0.0481,-0.1689,0.1178,0.1751,-0.0862,0.0114,0.1005,-0.0479,0.0034,0.1907,0.0909,-0.0108,0.0425,0.0821,-0.0203,0.0077,-0.0885,-0.1275,0.0124,0.0483,0.0893,-0.0176,0.0177,0.0031,-0.0336,-0.0123,-0.0358,0.0085,-0.0214,0.0136,0.0022,-0.0042,0.0178,-0.0149,0.0139,-0.0291,0.0314,0.0183,-0.0005,0.0199,-0.0004,0.0062,-0.0275,0.0061,0.0024,-0.0069,-0.0011,-0.0059,0.0103,-0.0003,-0.0158,-0.0071,0.0002,-0.0047,Ivanhoe L.,17-3788-53266,383,392
359,-0.94,1822,11.00,2.1,1.7,1408,135,10.6,1.3,18.9,1.59,0,6,-0.3965,0.1349,-0.0117,0.0348,0.3331,-0.1436,-0.2089,-0.1247,0.0551,0.0977,0.0118,0.0548,0.1132,-0.0328,0.0429,0.0109,0.1146,-0.0252,0.0307,0.0262,-0.0257,-0.0019,0.0074,-0.0060,0.0175,-0.0017,-0.0243,-0.0203,-0.0106,-0.0039,-0.2495,0.0027,-0.3417,-0.1921,0.1264,-0.0188,-0.0951,0.0644,0.0025,0.1370,0.0718,-0.1434,-0.0476,0.0920,-0.0597,-0.0774,-0.1247,0.0025,0.1125,0.1128,0.0581,0.0059,-0.0706,0.0581,0.0612,0.0480,0.0213,-0.0493,-0.0478,-0.0117,0.0129,0.0226,0.0049,-0.0161,-0.0250,-0.0081,-0.0081,-0.0174,-0.0150,0.0019,-0.0140,0.0079,-0.0118,0.0047,0.0079,0.0043,-0.0020,0.0042,0.0017,-0.0052,0.0021,0.0017,0.0018,0.0039,-0.0004,Kapuskasing L.,17-3563-53717,384,393
360,-0.72,252,18.00,4.5,2.4,1515,28,13.1,3.9,9.4,11.43,0,6,-0.3117,-0.0281,-0.0620,0.0690,0.3722,-0.0866,0.0888,-0.0263,0.0489,-0.0627,0.0794,-0.0305,-0.0053,-0.0244,-0.0323,0.0502,0.0282,-0.0136,0.0031,-0.0230,0.0837,-0.0338,0.0067,0.0300,-0.0092,-0.0114,-0.0038,-0.0214,-0.0049,-0.0002,-0.2519,0.0335,-0.2790,-0.1679,0.2276,-0.0143,-0.0375,-0.0068,0.0330,-0.0535,-0.0165,-0.0278,0.1804,0.0126,0.1336,0.2035,-0.0629,0.0690,0.0104,0.1527,0.1002,-0.0370,-0.1014,0.0604,0.0757,0.0483,0.0213,-0.0493,-0.0236,-0.0023,0.0231,-0.0019,0.0073,-0.0222,-0.0069,0.0028,0.0109,-0.0051,-0.0155,-0.0146,-0.0183,0.0114,-0.0250,-0.0071,0.0119,-0.0018,-0.0105,0.0057,0.0078,-0.0091,0.0014,-0.0008,-0.0001,0.0079,0.0051,Katagi L.,17-4271-53064,385,394
361,-0.97,2492,26.20,4.3,2.2,1496,65,9.9,2.5,9.8,10.24,0,11,-0.3670,-0.0632,0.0616,0.0406,0.1221,-0.0803,0.0138,-0.0801,0.0213,0.0689,-0.0991,0.0100,0.0716,0.0027,0.0799,-0.0248,0.0427,-0.0120,0.0254,-0.0267,0.0722,-0.0148,0.0092,-0.0069,-0.0453,-0.0084,0.0092,-0.0095,0.0126,-0.0344,-0.3239,-0.0453,-0.0057,0.0649,0.0771,-0.0534,0.0057,-0.1110,0.2669,0.0570,0.0711,-0.0515,-0.0046,0.0789,-0.0965,0.0968,0.0214,-0.0613,-0.1435,-0.0646,-0.0385,0.0442,0.0538,0.0532,0.1061,-0.0265,-0.0462,-0.0812,0.0374,-0.0418,-0.0141,0.0201,0.0186,0.0019,0.0308,-0.0500,-0.0127,-0.0036,0.0285,-0.0016,0.0016,-0.0098,0.0185,-0.0327,0.0222,0.0010,-0.0094,-0.0047,-0.0110,0.0117,-0.0098,-0.0012,-0.0045,-0.0045,-0.0016,Kenogamissi L.,17-4591-53367,386,395
362,-0.74,17402,7.50,2.3,0.5,1292,39,11.6,1.0,11.4,1.01,0,9,-0.4455,0.0268,0.0072,0.0186,-0.0784,-0.1449,0.0739,0.1163,0.0578,-0.0472,0.0016,-0.0063,0.0096,-0.0862,0.0398,-0.0183,0.0915,-0.0853,0.0175,0.0383,-0.0438,-0.0189,0.0062,-0.0053,-0.0062,0.0095,-0.0294,-0.0064,0.0072,-0.0016,-0.3880,0.1392,-0.1583,0.0651,0.1439,-0.0247,0.0318,0.0910,0.0409,-0.0903,0.1089,-0.0744,-0.0567,0.1240,0.0411,0.0197,0.1067,-0.0367,-0.0585,0.0361,-0.0753,-0.1061,0.0434,-0.0793,0.0175,0.0010,0.0529,-0.0122,-0.0133,-0.0243,0.0278,0.0067,-0.0048,0.0121,-0.0044,0.0237,-0.0239,0.0253,-0.0512,-0.0005,-0.0004,-0.0001,0.0200,0.0235,-0.0001,0.0247,-0.0193,-0.0062,0.0020,0.0091,0.0035,0.0046,-0.0057,-0.0114,0.0041,Kesagami L.,17-5547-55801,387,396
363,-0.79,3711,33.50,12.3,2.5,1558,111,5.8,3.8,8.2,10.23,0,15,0.0421,0.3274,0.4488,0.0967,0.0419,-0.0860,0.0626,-0.1052,0.0125,0.0511,-0.1954,0.1226,0.0981,0.0314,-0.0258,0.0268,0.1198,0.0025,0.0102,-0.0233,0.0657,-0.0470,-0.0486,0.1026,-0.0517,-0.0301,-0.0050,0.0173,0.0107,-0.0077,-0.1882,0.0376,0.1195,0.0605,-0.0580,-0.0085,-0.0800,-0.1138,0.1310,0.0486,0.0693,0.0802,0.0487,0.2055,0.0642,-0.0514,0.0184,0.1836,-0.0282,-0.1211,0.0543,0.0450,0.1524,0.1092,0.0580,0.0022,0.0833,0.0742,0.0334,-0.0009,0.1476,0.0029,-0.0375,-0.1454,-0.0381,0.0104,-0.0339,-0.0370,0.0222,-0.0431,-0.0254,-0.0109,0.0305,0.0205,-0.0192,0.0014,-0.0032,-0.0118,0.0142,-0.0030,0.0002,-0.0054,-0.0059,-0.0092,-0.0110,Larder L.,17-6010-53265,388,397
364,-1.04,2570,6.00,1.1,1.0,1355,21,15.0,1.2,10.7,1.62,0,8,-0.3347,-0.0006,-0.1863,0.0813,0.1995,0.0249,0.0417,0.1185,0.1904,0.0719,0.0289,0.0741,0.0241,-0.0613,-0.0473,0.0472,0.0233,-0.0095,-0.0103,-0.0087,0.0334,-0.0256,0.0053,0.0195,-0.0170,-0.0145,-0.0094,-0.0174,-0.0039,0.0012,-0.4361,0.1007,-0.1733,0.0586,0.1304,-0.0717,0.0444,0.0220,0.0147,-0.0086,0.1334,-0.0367,-0.0767,0.0258,0.0556,0.0493,0.0427,0.0253,-0.0397,-0.0315,0.0110,0.0160,-0.0145,0.0227,0.0072,0.0034,-0.0043,-0.0126,0.0037,-0.0081,0.0083,-0.0209,0.0040,0.0061,0.0116,-0.0007,-0.0109,0.0094,-0.0070,-0.0109,0.0111,0.0081,0.0094,-0.0211,0.0075,0.0024,-0.0072,-0.0066,-0.0047,0.0032,-0.0036,-0.0005,0.0007,-0.0005,0.0019,Lawagamau L.,17-5662-55201,389,398
365,-1.43,25,9.57,2.9,1.3,1409,76,18.3,1.5,15.5,4.08,0,5,-0.0007,-0.4218,-0.2376,0.1263,-0.1053,-0.0888,-0.4257,0.0025,0.0222,0.0846,-0.0835,0.1020,0.1024,-0.0577,-0.0689,-0.3129,0.0136,0.0548,0.0182,0.1174,0.0389,0.0100,0.0390,-0.0939,-0.0375,0.0114,-0.0495,-0.0092,-0.0576,0.0426,-0.0322,-0.2368,-0.4774,-0.0542,-0.0878,0.0454,-0.0912,0.1864,-0.1026,0.0986,0.1975,0.2333,0.0168,0.0705,-0.1132,-0.2400,0.0249,-0.1258,-0.1415,0.1319,-0.0119,0.0550,0.0113,0.1107,-0.0999,0.0143,0.0790,-0.0150,0.0044,-0.1649,0.0053,-0.0848,-0.0065,0.0415,0.0602,-0.0797,-0.0205,0.0371,0.0816,0.0907,-0.0001,0.0297,0.0016,-0.0503,0.0545,0.0250,-0.0334,0.0113,-0.0148,0.0092,-0.0115,0.0049,0.0212,-0.0163,0.0066,Legault's L.,17-4572-54649,390,399
366,-1.00,513,18.00,6.9,1.0,1363,71,8.6,3.1,9.9,4.58,0,10,-0.3970,0.1026,-0.1229,0.0607,-0.0281,0.0067,0.0778,0.0471,0.1111,0.0492,0.0068,0.0450,-0.0061,-0.0975,-0.0306,0.0419,-0.0302,-0.0016,-0.0011,-0.0428,0.1197,-0.0374,0.0022,0.0298,-0.0282,-0.0185,0.0128,0.0483,-0.0011,0.0442,-0.4046,0.1103,-0.1651,0.0943,0.0743,-0.0227,0.0453,0.0156,0.0280,0.0522,0.0484,-0.0136,0.0185,0.0560,0.0489,0.0431,0.0107,0.0425,-0.0128,0.0269,-0.1360,0.0503,-0.1332,-0.0393,-0.1546,-0.1073,-0.0842,0.1025,-0.0479,0.0773,-0.0841,0.0449,-0.0051,-0.0718,0.0462,-0.0297,-0.0698,-0.0154,0.0289,0.0065,-0.0097,-0.0035,0.0453,-0.0412,0.0016,-0.0037,-0.0161,-0.0244,0.0005,0.0159,-0.0108,0.0091,0.0045,-0.0019,-0.0030,Little Kesagami L.,17-5521-55108,391,400
367,-1.10,59,7.77,2.1,2.2,1478,79,12.5,2.0,16.9,0.00,0,5,-0.2747,-0.2647,-0.1451,0.0365,0.2660,-0.0360,0.0937,0.1668,0.0156,-0.1362,0.0812,-0.0967,0.0080,0.0092,-0.0150,0.0151,0.0616,-0.0188,-0.0023,0.0126,-0.0196,-0.0026,0.0159,0.0048,0.0014,-0.0005,-0.0210,-0.0247,-0.0236,0.0046,-0.1799,-0.0055,-0.2752,-0.3012,0.3245,-0.0500,-0.0879,0.0168,-0.0386,0.0845,-0.0556,-0.0995,0.1391,0.0168,-0.0142,0.0131,-0.0864,0.0332,0.0986,0.0910,0.0803,-0.0459,-0.0635,0.0373,0.0619,0.0478,0.0047,-0.0082,-0.0222,0.0092,0.0126,0.0110,0.0064,-0.0058,-0.0190,0.0052,0.0095,-0.0057,-0.0156,-0.0021,-0.0215,0.0032,-0.0195,0.0007,0.0104,-0.0052,-0.0025,0.0066,0.0021,-0.0104,0.0049,0.0018,0.0004,0.0056,0.0025,Little Ridley L.,17-3730-53082,392,401
368,-1.44,251,5.80,1.6,1.4,1333,130,13.8,2.2,11.1,4.10,0,7,-0.1781,-0.1252,-0.3012,0.2013,-0.0199,0.1203,-0.1667,0.0611,0.2062,0.2439,-0.0418,0.1314,0.0892,-0.0420,0.0138,0.0108,0.0192,-0.0156,-0.0034,0.0301,-0.0360,-0.0156,0.0160,-0.0135,-0.0098,-0.0016,-0.0257,-0.0158,-0.0167,0.0167,-0.3149,0.0381,-0.3417,-0.0762,0.0501,0.0123,-0.0487,0.0393,0.0665,0.0047,0.1000,-0.0742,0.0036,0.0833,0.0817,0.1068,-0.1005,0.0379,0.0296,0.1693,0.0789,0.0112,-0.1057,0.0786,0.0746,0.0486,0.0357,-0.0853,-0.0475,-0.0208,0.0227,0.0102,0.0057,-0.0310,-0.0135,-0.0095,-0.0062,-0.0158,-0.0152,-0.0103,-0.0119,0.0151,-0.0172,-0.0017,0.0086,0.0063,-0.0086,0.0041,0.0075,-0.0049,-0.0006,-0.0007,0.0006,0.0065,0.0019,Lower Minnipuka L.,17-2953-54198,393,402
369,-0.84,179,14.00,2.3,2.7,1545,50,11.7,4.1,7.1,6.22,0,8,-0.0849,-0.1114,0.0131,0.0585,0.2179,0.0608,0.1618,-0.0738,0.2011,0.1725,-0.2093,0.1030,0.1152,0.0984,0.0618,-0.0276,0.0868,-0.0146,-0.0291,0.0330,0.0000,-0.0075,0.0170,-0.0212,-0.0401,0.0136,-0.0069,-0.0105,-0.0031,-0.0072,-0.3287,-0.0328,-0.0612,-0.0998,0.1915,-0.0701,0.0747,-0.0640,0.0489,0.1050,0.0140,-0.0412,-0.2160,0.1038,-0.0609,-0.1415,0.0094,-0.0046,-0.0804,-0.0695,-0.0257,0.0510,0.0439,-0.0025,0.0108,0.0134,-0.0289,-0.0224,-0.0143,0.0092,-0.0164,0.0225,-0.0011,-0.0086,0.0107,0.0094,-0.0100,0.0233,-0.0035,-0.0192,0.0097,-0.0110,0.0134,-0.0158,0.0039,-0.0006,0.0018,0.0007,-0.0058,-0.0012,-0.0038,-0.0005,0.0099,-0.0029,-0.0054,Makami L.,17-4372-52874,394,403
370,-0.56,1696,71.40,13.6,2.8,1556,60,7.3,2.8,6.1,7.38,0,11,-0.3315,0.3827,0.1531,-0.1184,0.1356,0.0465,0.1168,-0.0570,0.0276,0.0110,-0.1086,0.0699,0.0464,-0.0113,0.0236,-0.0065,-0.0478,0.0209,0.0041,0.0135,0.0087,0.0089,0.0106,-0.0129,0.0116,0.0122,-0.0164,-0.0181,-0.0126,-0.0113,-0.3238,0.0899,0.1464,-0.1572,-0.0111,0.0494,0.0924,-0.0012,0.0765,-0.0121,0.1077,0.1098,-0.1393,0.0161,0.0681,0.0137,0.0198,0.0042,-0.0363,-0.0164,-0.0089,0.0657,-0.0336,0.0141,0.0302,0.0118,0.0308,-0.0720,-0.0188,-0.0175,0.0000,-0.0031,-0.0019,0.0098,0.0450,-0.0136,-0.0149,0.0218,-0.0058,-0.0030,-0.0244,-0.0045,0.0107,-0.0055,-0.0082,0.0064,0.0084,0.0104,0.0102,-0.0060,0.0008,-0.0021,0.0023,0.0052,-0.0048,Mesomikenda L.,17-4340-52773,395,404
371,-0.83,1282,36.60,5.9,2.6,1546,57,10.4,4.1,9.2,8.12,0,13,-0.2962,-0.0033,0.0659,-0.0824,-0.1578,-0.0464,0.2847,0.0503,-0.0612,-0.0382,-0.0098,-0.0733,-0.0345,-0.0313,0.0506,-0.0160,-0.0922,0.0172,-0.0216,-0.0074,0.0904,-0.0027,0.0045,0.0147,-0.0256,0.0097,0.0014,-0.0199,-0.0030,-0.0113,-0.2207,-0.0284,0.1823,0.0379,0.1507,0.1421,-0.1597,-0.2040,0.1073,-0.1094,-0.0354,0.0353,0.0266,-0.2023,0.0365,0.0014,0.0059,0.0528,-0.1128,-0.0287,0.0146,-0.0396,0.0634,0.0150,0.0459,0.0463,0.0007,-0.0150,0.0105,0.0340,-0.0413,0.0070,-0.0342,-0.0153,-0.0262,0.0113,-0.0174,0.0242,0.0080,0.0124,0.0096,-0.0308,-0.0027,-0.0183,0.0124,-0.0079,-0.0139,0.0012,-0.0037,0.0100,-0.0013,0.0000,0.0118,0.0003,0.0010,Mistinikon L.,17-5196-53085,396,405
372,-0.95,503,22.00,4.0,1.1,1384,80,15.7,2.5,13.0,2.74,0,12,-0.2907,0.0782,-0.0395,0.1369,-0.1117,-0.1126,-0.0921,-0.1238,0.0891,0.1086,-0.0214,0.0482,-0.0456,0.0800,-0.0164,0.0402,0.0008,-0.0228,0.0694,0.1667,-0.0255,0.0064,0.2661,0.0638,-0.0660,-0.0905,0.1353,-0.0003,0.0834,-0.0500,-0.3681,0.1435,-0.0308,0.0896,0.0570,0.1374,-0.0332,0.1178,0.1743,-0.1020,0.0681,0.0121,0.0285,-0.0305,-0.0576,-0.0151,0.0069,-0.0972,0.0166,-0.0048,-0.0627,-0.1138,0.0987,-0.1192,0.0613,0.0105,0.0447,-0.0127,0.0128,-0.0349,-0.0238,-0.0171,-0.0276,0.0556,-0.0354,0.0504,0.1213,-0.0748,0.0927,-0.0064,-0.0930,0.0169,0.0086,0.0290,-0.0032,0.0080,-0.0054,0.0012,0.0169,0.0001,0.0108,0.0090,-0.0154,-0.0139,-0.0013,Montreuil L.,17-5149-54886,397,406
373,-1.14,480,42.70,8.4,2.3,1513,105,9.1,3.2,11.1,1.85,0,14,0.0549,0.0965,0.0247,0.2026,-0.0857,-0.2204,-0.0040,-0.2501,-0.2294,0.0662,-0.0209,0.1355,0.0069,-0.1444,-0.1481,-0.2481,-0.0002,0.0192,-0.0672,-0.0345,0.1153,0.0446,0.0316,-0.0255,-0.0604,-0.0229,0.0640,-0.0094,0.0267,-0.0243,-0.1752,0.1578,0.0049,0.1356,-0.0006,-0.1371,-0.3130,0.0724,0.0867,0.1525,0.0963,0.1669,0.0429,0.0371,0.1314,-0.0180,0.1058,-0.0026,-0.0912,0.0004,0.0250,0.0423,-0.0201,0.0170,-0.0279,-0.0959,0.0307,0.0227,-0.0243,0.0320,-0.0978,0.0173,-0.0516,0.0026,0.0016,-0.0478,-0.0479,-0.0070,0.0766,-0.0008,-0.0507,-0.0182,0.0448,-0.0296,0.0016,0.0039,0.0003,-0.0034,-0.0058,0.0120,-0.0071,-0.0179,-0.0154,0.0038,-0.0170,Muskasenda L.,17-4773-53267,398,407
374,-0.83,1821,93.00,26.1,2.0,1438,136,8.4,4.0,6.2,1.92,0,8,-0.1544,0.1349,0.2441,-0.1092,0.4012,0.0419,0.1024,0.2266,0.0946,-0.0927,-0.1132,0.0477,0.0504,0.0752,0.0023,-0.0112,-0.1207,0.0545,-0.0011,0.0332,-0.0830,0.0559,0.0143,-0.0305,0.0128,0.0084,0.0020,-0.0501,-0.0201,-0.0152,0.0045,0.0244,0.2459,-0.3475,0.0743,0.1161,-0.0523,-0.0280,0.2971,0.1725,-0.0732,0.0203,0.0931,-0.0468,0.1114,-0.0522,-0.2291,-0.1127,0.0902,0.0322,0.0607,-0.0424,0.0017,0.0114,0.1155,0.0471,0.0704,0.0057,0.0162,-0.0013,0.0009,-0.0220,-0.0109,0.0442,0.0192,-0.0269,-0.0138,-0.0216,0.0502,-0.0032,-0.0056,0.0274,0.0194,-0.0102,0.0251,0.0047,-0.0006,-0.0026,-0.0010,0.0174,0.0161,-0.0030,-0.0050,-0.0062,0.0049,Nemegosenda L.,17-3426-53189,399,408
375,-1.11,10849,4.60,1.7,2.0,1482,95,13.7,2.1,32.9,3.64,0,13,-0.0498,0.2787,-0.1205,-0.1001,-0.3578,-0.1490,-0.2170,-0.0314,0.1578,-0.0364,-0.0321,-0.0246,-0.2194,0.4632,-0.2608,0.0941,0.0346,-0.0176,0.0357,0.0985,0.0935,0.0041,0.1338,0.0936,0.0159,-0.0354,-0.0937,-0.1215,-0.0785,0.0025,-0.1481,0.0363,-0.2554,0.1509,-0.0967,-0.0624,0.0775,0.0468,-0.1165,-0.2076,0.0180,0.1224,0.1480,0.2285,0.0397,-0.1206,-0.0097,-0.2126,-0.0053,0.0662,-0.0050,-0.0912,0.0801,-0.0453,0.0465,-0.0040,0.0692,-0.0432,0.0031,-0.0608,-0.0358,0.0225,-0.0417,0.0515,-0.0520,0.0840,0.1331,-0.0602,0.1043,-0.0273,-0.0994,-0.0005,0.0037,0.0577,-0.0083,0.0286,-0.0168,-0.0070,0.0381,0.0098,0.0101,-0.0104,-0.0078,0.0266,-0.0115,Night Hawk L.,17-5018-53686,400,409
376,-0.46,2062,14.50,3.2,2.7,1545,50,11.7,2.2,9.0,4.16,0,8,-0.2266,0.3816,0.1267,0.0126,0.4159,-0.2669,-0.0997,-0.3361,0.0536,0.0118,0.0307,0.0157,0.0308,-0.0410,-0.0091,0.0782,-0.0215,-0.0197,0.0443,-0.0293,0.2044,-0.0342,0.0235,0.0514,0.0337,-0.0020,-0.0359,-0.0238,-0.0429,0.0319,-0.3843,0.1335,0.0083,-0.0624,0.2419,0.0552,0.0482,0.0316,-0.0233,-0.1307,0.0237,0.1226,0.0345,-0.1443,0.0208,0.1309,0.0162,-0.0056,0.0295,-0.0584,0.0216,-0.0456,-0.0338,0.0087,0.0160,0.0166,-0.0307,0.0145,0.0215,0.0136,0.0034,-0.0375,0.0192,0.0355,0.0219,0.0111,-0.0038,0.0169,-0.0164,0.0090,0.0136,0.0027,-0.0030,-0.0282,0.0158,-0.0052,-0.0113,-0.0051,-0.0075,0.0112,-0.0009,0.0026,0.0032,0.0002,0.0068,Opeepeesway L.,17-4061-52742,401,410
377,-0.93,557,51.80,14.5,2.3,1513,62,4.8,4.3,4.0,5.78,0,11,-0.0211,0.1283,0.2275,0.3627,0.0777,0.0165,-0.1726,0.0296,0.0978,0.0959,-0.0307,0.1435,0.0209,-0.0709,-0.0229,0.0476,-0.2388,0.0679,0.0339,0.0032,-0.0290,-0.0127,0.0204,-0.0087,0.0231,0.0036,-0.0077,-0.0163,-0.0280,0.0248,-0.3481,0.1930,0.0675,-0.0849,-0.0367,0.0213,0.0234,0.1127,0.0233,0.0184,0.1581,0.0987,-0.0408,-0.0285,0.0484,0.0405,0.0781,-0.0055,0.0493,-0.0061,0.0150,-0.0324,-0.1356,0.0334,-0.0362,-0.0738,-0.0055,0.0592,-0.0941,0.0688,-0.0794,0.0096,-0.0095,-0.0179,0.0545,-0.0495,-0.0445,-0.0163,0.0337,0.0216,-0.0560,-0.0081,0.0457,-0.0335,-0.0045,0.0113,0.0053,-0.0112,-0.0033,0.0050,0.0029,0.0081,-0.0008,0.0051,-0.0038,Radisson L.,17-5180-53389,402,411
378,-0.47,581,46.90,19.0,2.6,1571,48,6.7,4.1,7.4,7.94,0,15,-0.1010,0.2229,0.4482,-0.0354,0.1133,-0.0664,0.1015,-0.0556,0.0304,-0.0074,-0.1428,0.0858,0.0315,0.0208,0.0610,-0.0114,-0.1859,0.0738,0.0597,0.0425,-0.1116,0.0501,-0.0035,0.0121,0.0196,0.0365,-0.0313,-0.0087,-0.0509,0.0074,-0.1867,-0.1351,0.2335,-0.0151,-0.0055,0.0734,0.0723,0.0331,-0.0051,-0.0525,0.1218,-0.0141,-0.1488,-0.0177,0.0610,0.0916,0.0457,0.0375,0.0556,-0.0048,0.0404,0.1067,0.0159,-0.0037,-0.0535,0.0569,0.1238,-0.0222,-0.0971,0.0699,0.0415,-0.0254,0.0135,-0.0526,0.0085,-0.0150,0.0031,-0.0084,-0.0231,0.0587,-0.0313,0.0186,0.0247,0.0167,-0.0258,-0.0008,0.0195,0.0115,0.0219,-0.0161,0.0124,0.0049,0.0006,0.0067,-0.0003,Raven L.,17-6079-53230,403,412
379,-0.77,808,53.00,14.5,2.3,1485,92,6.9,4.3,7.2,0.95,0,13,-0.1520,0.1325,-0.0016,0.1672,0.0673,0.0741,-0.0446,0.0519,-0.1070,-0.0597,0.0230,0.0132,-0.1640,-0.0566,0.1615,-0.0071,-0.2546,0.2048,0.0152,-0.0247,-0.0009,0.0757,-0.0014,-0.0202,-0.0107,0.0378,0.0439,-0.0430,-0.0099,-0.0245,-0.2218,0.2623,0.0906,-0.0105,-0.0389,0.0792,-0.1902,0.0886,0.1595,-0.0762,0.1235,-0.0126,0.0332,-0.0804,0.0443,-0.0542,0.0364,0.0638,-0.0214,-0.1206,-0.0009,0.0909,0.0127,0.1308,0.0066,0.0748,0.0284,-0.0088,0.0550,-0.0088,-0.0476,-0.0388,0.0058,0.0260,0.0114,-0.0028,-0.0397,0.0256,0.0551,0.0140,-0.0184,-0.0025,0.0143,0.0050,-0.0159,0.0042,0.0011,0.0051,-0.0017,0.0074,-0.0019,-0.0078,-0.0120,0.0080,-0.0062,Rollo L.,17-3767-53044,405,414
380,-0.87,1183,36.00,17.2,2.5,1551,132,9.1,2.8,24.1,10.76,0,13,-0.3344,0.0416,0.0544,-0.0705,0.1131,-0.0304,-0.0522,-0.0162,0.0610,0.1192,-0.1935,-0.2133,-0.1428,-0.1780,-0.0622,0.0151,-0.1014,0.0444,0.0193,0.0236,-0.1051,0.0251,-0.0378,0.0377,-0.0424,0.0264,-0.0287,0.0116,-0.0170,-0.0216,-0.2966,-0.0533,0.0873,0.0362,0.0667,0.1036,0.0187,0.0000,0.2760,-0.0685,0.0589,0.0950,-0.0917,0.0092,-0.0676,0.0306,-0.0385,0.0621,0.0511,0.0462,0.0957,0.1046,0.1871,0.0353,0.0172,-0.0748,-0.0279,0.0801,0.0010,0.0153,0.0053,-0.0078,0.0163,0.0656,0.0312,0.0620,0.0158,-0.0174,-0.0364,0.0151,0.0451,0.0291,0.0244,-0.0266,0.0102,-0.0025,0.0031,-0.0042,-0.0008,-0.0025,-0.0080,0.0028,-0.0086,-0.0132,-0.0093,Round L.,17-5717-53183,406,415
381,-0.77,144,12.20,2.7,1.0,1362,74,10.8,2.7,10.5,3.10,1,9,-0.3797,0.2139,-0.1142,-0.0256,-0.1248,0.0601,0.2008,-0.0417,-0.0377,-0.0671,0.0456,-0.0285,-0.0329,-0.1023,-0.0227,0.0267,-0.0089,-0.0136,-0.0024,-0.0122,0.0795,-0.0346,0.0100,0.0180,0.0011,0.0012,-0.0153,-0.0180,0.0003,0.0037,-0.4046,0.1053,-0.1649,0.0598,0.1187,-0.0676,0.0529,0.0278,0.0205,-0.0006,0.1297,-0.0280,-0.0640,0.0405,0.0539,0.0449,0.0473,0.0333,-0.0450,-0.0466,0.0021,-0.0131,-0.0073,0.0189,0.0021,-0.0149,0.0024,0.0052,-0.0166,0.0015,-0.0126,0.0122,-0.0028,0.0147,0.0050,-0.0437,-0.0175,-0.0190,0.0255,0.0353,0.1031,0.0811,-0.2281,0.0151,0.0049,-0.0218,0.0411,0.0116,0.0159,-0.0175,0.0119,-0.0250,0.0615,-0.0082,-0.0039,Sand L.,17-5208-55103,407,416
382,-0.92,119,34.70,11.2,2.7,1572,68,6.9,3.8,8.3,1.45,0,12,0.0481,-0.3174,0.2754,0.1304,0.0799,0.0408,0.0917,0.1391,-0.0421,-0.0675,0.0397,-0.0653,0.0503,0.0502,0.0452,-0.0349,0.0264,0.0014,-0.0304,0.0157,-0.0128,-0.0199,0.0098,0.0164,-0.0297,-0.0162,0.0252,-0.0170,0.0136,-0.0112,-0.1733,-0.0468,0.3092,-0.1837,0.0906,0.0539,-0.0207,-0.0693,0.0672,0.0902,-0.0357,-0.0390,0.0564,-0.2160,-0.0143,-0.1103,0.0564,-0.0205,-0.0337,-0.0476,0.0217,0.0199,0.0811,-0.0698,0.0692,-0.0007,0.0412,0.0173,-0.0063,0.0123,-0.0141,-0.0160,-0.0319,0.0230,0.0016,-0.0290,-0.0071,0.0067,0.0004,0.0353,-0.0319,-0.0222,0.0110,-0.0208,0.0072,-0.0041,0.0103,0.0088,0.0017,-0.0029,0.0058,0.0030,0.0074,-0.0004,0.0023,Shillington L.,17-5265-52901,408,417
